[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:304530434b02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:514434385002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:35524a334e02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:515257584202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:353457435302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4a4f58434902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4a5633574502007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:384a5a573902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:583130484902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:513554425302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:324357584402007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:425a54554202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:353454343902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:315132474e02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:555331545802007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:534554324e02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:534135554202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:53594a313002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4d454d363502007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4a3835363102007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:414c4f585302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:425638473702007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:384c51364202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:384e42414102007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4538494a4802007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:564a37373902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:464730504902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:355a44585a02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:305951344102007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:333835494802007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:425636373902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:585342583002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:414d55515a02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:444d51594e02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4f4244494a02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:33474a374c02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4a38594e5502007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:444f31375202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:555558485202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:434f37575502007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:353130535402007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:384c30355902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:44524e445002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:59564b313602007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:525032484302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:345a4d435002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:3344584e4302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:415355325302007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:575152363702007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4e4b43345102007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:434559464902007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4a5758433602007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:565a47564802007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4f484a444202007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:51434d323802007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4e4334325002007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:554f58584402007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:374e454d4a02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:504c344d5a02007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:4e544c463702007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:544f31365602007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:524b4a4a5702007230000108c00000d00200
[21/04/2023 15:42:57] R:02007230000108c00000d00200 | S:525031584a02007230000108c00000d00200
